category,item,serving_size,calories,calories_from_fat,total_fat,total_fat_(%_daily_value),saturated_fat,saturated_fat_(%_daily_value),trans_fat,cholesterol,cholesterol_(%_daily_value),sodium,sodium_(%_daily_value),carbohydrates,carbohydrates_(%_daily_value),dietary_fiber,dietary_fiber_(%_daily_value),sugars,protein,vitamin_a_(%_daily_value),vitamin_c_(%_daily_value),calcium_(%_daily_value),iron_(%_daily_value)
Breakfast,Egg McMuffin,4.8 oz (136 g),300.0,120.0,13.0,20.0,5.0,25.0,0.0,155.0,50.125,750.0,31.0,31.0,10.0,4.0,17.0,3.0,17.0,10.0,0.0,25.0,15.0
Breakfast,Egg White Delight,4.8 oz (135 g),250.0,70.0,8.0,12.0,3.0,15.0,0.0,25.0,8.0,770.0,32.0,30.0,10.0,4.0,17.0,3.0,18.0,6.0,0.0,25.0,8.0
Breakfast,Sausage McMuffin,3.9 oz (111 g),370.0,200.0,23.0,35.0,8.0,42.0,0.0,45.0,15.0,780.0,33.0,29.0,10.0,4.0,17.0,2.0,14.0,8.0,0.0,25.0,10.0
Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g),450.0,250.0,28.0,43.0,10.0,52.0,0.0,155.0,50.125,860.0,36.0,30.0,10.0,4.0,17.0,2.0,21.0,15.0,0.0,30.0,15.0
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),400.0,210.0,23.0,35.0,8.0,42.0,0.0,50.0,16.0,880.0,37.0,30.0,10.0,4.0,17.0,2.0,21.0,6.0,0.0,25.0,10.0
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),430.0,210.0,23.0,36.0,9.0,46.0,0.0,155.0,50.125,960.0,40.0,31.0,10.0,4.0,18.0,3.0,26.0,15.0,2.0,30.0,20.0
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),460.0,230.0,26.0,40.0,13.0,65.0,0.0,155.0,50.125,1300.0,54.0,38.0,13.0,2.0,7.0,3.0,19.0,10.0,8.0,15.0,15.0
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),520.0,270.0,30.0,47.0,14.0,68.0,0.0,155.0,50.125,1410.0,59.0,43.0,14.0,3.0,12.0,4.0,19.0,15.0,8.0,20.0,20.0
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),410.0,180.0,20.0,32.0,11.0,56.0,0.0,35.0,11.0,1300.0,54.0,36.0,12.0,2.0,7.0,3.0,20.0,2.0,8.0,15.0,10.0
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),470.0,220.0,25.0,38.0,12.0,59.0,0.0,35.0,11.0,1420.0,59.0,42.0,14.0,3.0,12.0,4.0,20.0,6.0,8.0,15.0,15.0
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430.0,240.0,27.0,42.0,12.0,62.0,0.0,30.0,10.0,1080.0,45.0,34.0,11.0,2.0,6.0,2.0,11.0,0.0,0.0,6.0,15.0
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480.0,280.0,31.0,48.0,13.0,65.0,0.0,30.0,10.0,1190.0,50.0,39.0,13.0,3.0,11.0,3.0,11.0,4.0,0.0,8.0,15.0
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),510.0,290.0,33.0,50.0,14.0,71.0,0.0,155.0,50.125,1170.0,49.0,36.0,12.0,2.0,6.0,2.0,18.0,6.0,0.0,10.0,20.0
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),570.0,330.0,37.0,57.0,15.0,74.0,0.0,155.0,50.125,1280.0,53.0,42.0,14.0,3.0,11.0,3.0,18.0,10.0,0.0,10.0,20.0
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),460.0,250.0,27.0,42.0,12.0,62.0,0.0,35.0,11.0,1180.0,49.0,34.0,11.0,2.0,6.0,3.0,18.0,0.0,0.0,8.0,15.0
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),520.0,280.0,32.0,49.0,13.0,65.0,0.0,35.0,11.0,1290.0,54.0,40.0,13.0,3.0,11.0,3.0,18.0,4.0,0.0,8.0,15.0
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),410.0,180.0,20.0,31.0,8.0,41.0,0.0,30.0,10.0,1180.0,49.0,41.0,14.0,2.0,6.0,3.0,17.0,0.0,2.0,6.0,15.0
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),470.0,220.0,24.0,37.0,9.0,45.0,0.0,30.0,10.0,1290.0,54.0,46.0,15.0,3.0,11.0,4.0,17.0,4.0,2.0,8.0,15.0
Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),540.0,290.0,32.0,49.0,16.0,78.0,0.0,155.0,50.125,1470.0,61.0,38.0,13.0,2.0,8.0,3.0,25.0,10.0,2.0,20.0,25.0
Breakfast,"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),460.0,190.0,21.0,32.0,9.0,44.0,0.0,155.0,50.125,1250.0,52.0,48.0,16.0,2.0,9.0,15.0,19.0,10.0,10.0,20.0,15.0
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),400.0,140.0,15.0,24.0,7.0,34.0,0.0,35.0,11.0,1250.0,52.0,47.0,16.0,2.0,9.0,16.0,20.0,2.0,10.0,15.0,10.0
Breakfast,Sausage McGriddles,5 oz (141 g),420.0,200.0,22.0,34.0,8.0,40.0,0.0,35.0,11.0,1030.0,43.0,44.0,15.0,2.0,8.0,15.0,11.0,0.0,0.0,8.0,10.0
Breakfast,"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),550.0,280.0,31.0,48.0,12.0,61.0,0.0,155.0,50.125,1320.0,55.0,48.0,16.0,2.0,9.0,15.0,20.0,10.0,0.0,20.0,15.0
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),500.0,230.0,26.0,40.0,10.0,52.0,0.0,50.0,17.0,1320.0,55.0,46.0,15.0,2.0,9.0,15.0,21.0,2.0,0.0,20.0,10.0
Breakfast,"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),620.0,280.0,31.0,48.0,11.0,56.0,0.0,155.0,50.125,1480.0,62.0,57.0,19.0,3.0,11.0,7.0,30.0,20.0,10.0,20.0,20.0
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),570.0,230.0,25.0,39.0,9.0,45.0,0.0,60.0,20.0,1480.0,62.0,55.0,18.0,3.0,12.0,8.0,30.0,10.0,10.0,20.0,15.0
Breakfast,"Steak, Egg & Cheese Bagel",8.5 oz (241 g),670.0,310.0,35.0,53.0,13.0,63.0,0.0,155.0,50.125,1510.0,63.0,56.0,19.0,3.0,12.0,7.0,33.0,20.0,4.0,25.0,25.0
Breakfast,Big Breakfast (Regular Biscuit),9.5 oz (269 g),740.0,430.0,48.0,73.0,17.0,87.0,0.0,155.0,50.125,1560.0,65.0,51.0,17.0,3.0,12.0,3.0,28.0,15.0,2.0,15.0,25.0
Breakfast,Big Breakfast (Large Biscuit),10 oz (283 g),800.0,470.0,52.0,80.0,18.0,90.0,0.0,155.0,50.125,1680.0,70.0,56.0,19.0,4.0,17.0,3.0,28.0,15.0,2.0,15.0,30.0
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),640.0,330.0,37.0,57.0,14.0,69.0,0.0,35.0,12.0,1590.0,66.0,50.0,17.0,3.0,12.0,3.0,26.0,0.0,2.0,10.0,15.0
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),690.0,370.0,41.0,63.0,14.0,72.0,0.0,35.0,12.0,1700.0,71.0,55.0,18.0,4.0,17.0,4.0,26.0,4.0,2.0,10.0,15.0
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),14.8 oz (420 g),935.0,470.0,52.0625,81.875,19.0,96.0,0.0,155.0,50.125,2001.25,83.5,105.0,35.0,6.0,23.0,17.0,36.0,15.0,2.0,25.0,37.5
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),15.3 oz (434 g),935.0,470.0,52.0625,81.875,20.0,100.0,0.0,155.0,50.125,2001.25,83.5,105.0,35.0,7.0,25.0,17.0,36.0,15.0,2.0,30.0,37.5
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),935.0,410.0,46.0,70.0,16.0,78.0,0.0,55.0,19.0,2001.25,83.5,105.0,35.0,6.0,23.0,17.0,35.0,0.0,2.0,25.0,30.0
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),15.4 oz (437 g),935.0,450.0,50.0,77.0,16.0,81.0,0.0,55.0,19.0,2001.25,83.5,105.0,35.0,7.0,25.0,18.0,35.0,4.0,2.0,25.0,30.0
Breakfast,Hotcakes,5.3 oz (151 g),350.0,80.0,9.0,13.0,2.0,9.0,0.0,20.0,7.0,590.0,24.0,60.0,20.0,3.0,10.0,14.0,8.0,0.0,0.0,15.0,15.0
Breakfast,Hotcakes and Sausage,6.8 oz (192 g),520.0,210.0,24.0,37.0,7.0,36.0,0.0,50.0,17.0,930.0,39.0,61.0,20.0,3.0,10.0,14.0,15.0,0.0,0.0,15.0,15.0
Breakfast,Sausage Burrito,3.9 oz (111 g),300.0,150.0,16.0,25.0,7.0,33.0,0.0,115.0,38.0,790.0,33.0,26.0,9.0,1.0,5.0,2.0,12.0,10.0,2.0,15.0,15.0
Breakfast,Hash Brown,2 oz (56 g),150.0,80.0,9.0,14.0,1.5,6.0,0.0,0.0,0.0,310.0,13.0,15.0,5.0,2.0,6.0,0.0,1.0,0.0,2.0,0.0,2.0
Breakfast,Cinnamon Melts,4 oz (114 g),460.0,170.0,19.0,30.0,9.0,43.0,0.0,15.0,5.0,370.0,15.0,66.0,22.0,3.0,11.0,32.0,6.0,4.0,0.0,6.0,15.0
Breakfast,Fruit & Maple Oatmeal,9.6 oz (251 g),290.0,35.0,4.0,6.0,1.5,8.0,0.0,5.0,2.0,160.0,7.0,58.0,19.0,5.0,19.0,32.0,5.0,2.0,10.0,10.0,10.0
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,9.6 oz (251 g),260.0,40.0,4.0,6.0,1.5,8.0,0.0,5.0,2.0,115.0,5.0,49.0,16.0,5.0,22.0,18.0,5.0,2.0,10.0,6.0,10.0
Beef & Pork,Big Mac,7.4 oz (211 g),530.0,240.0,27.0,42.0,10.0,48.0,0.0,85.0,28.0,960.0,40.0,47.0,16.0,3.0,13.0,9.0,24.0,6.0,2.0,25.0,25.0
Beef & Pork,Quarter Pounder with Cheese,7.1 oz (202 g),520.0,240.0,26.0,41.0,12.0,61.0,0.0,95.0,31.0,1100.0,46.0,41.0,14.0,3.0,11.0,10.0,30.0,10.0,2.0,30.0,25.0
Beef & Pork,Quarter Pounder with Bacon & Cheese,8 oz (227 g),600.0,260.0,29.0,45.0,13.0,63.0,0.0,105.0,34.0,1440.0,60.0,48.0,16.0,3.0,12.0,12.0,37.0,6.0,10.0,25.0,30.0
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,8.3 oz (235 g),610.0,280.0,31.0,48.0,13.0,64.0,0.0,105.0,35.0,1180.0,49.0,46.0,15.0,3.0,14.0,10.0,37.0,8.0,10.0,25.0,30.0
Beef & Pork,Quarter Pounder Deluxe,8.6 oz (244 g),540.0,250.0,27.0,42.0,11.0,54.0,0.0,85.0,28.0,960.0,40.0,45.0,15.0,3.0,13.0,9.0,29.0,10.0,8.0,25.0,30.0
Beef & Pork,Double Quarter Pounder with Cheese,10 oz (283 g),750.0,380.0,43.0,66.0,19.0,96.0,0.0,155.0,50.125,1280.0,53.0,42.0,14.0,3.0,11.0,10.0,41.5,10.0,2.0,30.0,35.0
Beef & Pork,Hamburger,3.5 oz (98 g),240.0,70.0,8.0,12.0,3.0,15.0,0.0,30.0,10.0,480.0,20.0,32.0,11.0,1.0,6.0,6.0,12.0,2.0,2.0,10.0,15.0
Beef & Pork,Cheeseburger,4 oz (113 g),290.0,100.0,11.0,18.0,5.0,27.0,0.0,45.0,15.0,680.0,28.0,33.0,11.0,2.0,7.0,7.0,15.0,6.0,2.0,20.0,15.0
Beef & Pork,Double Cheeseburger,5.7 oz (161 g),430.0,190.0,21.0,32.0,10.0,52.0,0.0,90.0,30.0,1040.0,43.0,35.0,12.0,2.0,8.0,7.0,24.0,10.0,2.0,30.0,20.0
Beef & Pork,Bacon Clubhouse Burger,9.5 oz (270 g),720.0,360.0,40.0,62.0,15.0,75.0,0.0,115.0,38.0,1470.0,61.0,51.0,17.0,4.0,14.0,14.0,39.0,8.0,10.0,30.0,25.0
